Length [m];Hei/Wid [cm];Load [kN/m];Disp [cm]
8.313814;15.368739;16.951531;10.81006
9.767592;14.322279;13.346336;21.49301
9.750525;38.570012;19.545624;0.596288
5.491234;37.289281;17.210387;0.060912
5.233006;28.361752;11.775155;0.102285
7.247258;35.207763;12.310659;0.165415
9.335046;12.148209;12.762047;33.12237
8.319790;29.546053;16.391122;0.769177
6.308561;21.899239;15.315703;0.787132
6.550738;34.897636;13.496948;0.125568
8.531381;29.206138;15.741330;0.855247
7.198888;39.564324;15.311773;0.125816
9.748266;36.701617;18.304546;0.680240
8.059240;37.244331;12.044408;0.197529
9.943812;37.523680;18.461497;0.679827
7.875261;22.505326;12.586363;1.407032
6.109421;23.257878;16.619744;0.590899
6.452375;12.861309;19.002789;8.965745
8.469487;33.225375;18.544610;0.584834
7.393159;25.651104;15.647752;0.805845
7.599146;19.880668;11.388820;1.811991
6.493692;19.726251;13.496784;1.182003
9.086109;14.513936;14.837073;16.96666
9.027613;17.381014;16.865450;9.140956
9.343805;19.711216;17.786535;6.689837
7.273559;28.917813;18.064757;0.540094
9.216144;25.203594;11.703442;1.559809
7.166545;29.361138;18.574336;0.492581
9.674165;37.904231;19.254490;0.610235
9.620972;13.417806;13.036592;25.65225
5.478369;34.147797;15.141793;0.075357
8.784921;26.463505;13.405828;1.214057
9.171793;23.707116;10.794492;1.802307
8.221202;32.094305;18.287132;0.588064
6.818791;18.279628;11.882171;1.714885
6.505718;29.347566;19.886942;0.359138
5.394334;22.827259;17.762839;0.413987
5.394894;36.719378;17.023129;0.059701
6.877416;10.178749;16.364335;25.38984
6.246293;24.786603;17.365148;0.523124
6.806660;14.713730;19.529167;6.662478
6.322945;31.446508;11.651781;0.142579
5.927031;30.229544;11.632300;0.128736
8.399897;22.184008;11.322877;1.734798
6.830579;20.563310;13.381048;1.214871
8.167308;39.091159;13.059490;0.186211
7.753825;11.658536;15.598042;22.71975
6.595264;13.982353;19.464375;7.176882
5.083218;25.581410;10.221171;0.119315
7.903999;31.360786;18.432525;0.555557
8.703593;10.532366;12.947725;44.94107
6.595482;24.564780;16.518890;0.640940
7.852716;35.571143;11.341996;0.201464
9.012598;12.853693;13.877266;24.96970
8.004477;20.830464;11.211355;1.821917
6.820122;35.642488;13.454747;0.135121
5.681483;39.808343;18.509263;0.057840
5.722912;31.188998;12.680174;0.107745
6.147429;27.578064;19.423852;0.358617
7.959448;39.443939;13.710398;0.170183
8.031115;20.004169;10.607217;2.053504
7.168501;22.787071;14.187712;1.036494
8.645625;31.641822;17.136632;0.713043
6.687589;18.481433;12.279111;1.569389
6.072369;10.749839;18.355154;13.91628
9.746460;12.742632;12.335501;31.42634
8.027095;25.857208;14.517281;1.005812
6.527064;14.607312;10.017413;2.975015
6.240449;28.964703;10.162237;0.163797
8.438094;18.176114;18.574555;6.426806
7.480927;39.678067;14.823524;0.140350
5.714526;26.538500;19.596615;0.315159
9.574960;12.682560;12.638454;30.56363
7.223194;18.438772;11.179461;1.962079
5.586499;20.937374;16.118585;0.609983
6.276200;28.434160;19.737039;0.350371
5.566661;29.496708;11.864484;0.112763
5.686211;32.329928;13.514196;0.096996
7.197034;36.817704;13.484402;0.147451
6.176496;20.620057;14.727045;0.884570
9.519734;27.259277;12.466716;1.382556
7.620880;21.221241;12.239067;1.517491
7.083327;13.779728;18.353165;9.543515
6.770166;16.543445;10.821964;2.261763
5.917379;12.885439;10.088867;3.342548
8.882887;19.583017;18.622904;5.873174
5.932204;30.892363;12.063833;0.122879
5.159195;20.853423;16.917226;0.473495
5.216725;21.263841;17.075777;0.462172
9.998668;22.637141;18.427424;5.225202
5.824235;29.539223;11.377679;0.128764
9.671421;31.638261;15.082665;0.982535
9.247465;19.141313;17.599278;7.141078
8.917968;10.734809;12.653937;44.86108
8.215179;14.782434;16.757932;11.90299
9.638158;31.926659;15.341455;0.950643
7.677321;39.804686;14.515149;0.150463
9.239442;21.748111;19.353190;4.697323
7.327528;21.434169;12.967723;1.320670
7.084119;17.820678;11.045547;2.055512
5.140213;23.233952;18.542209;0.332203
6.226760;37.051224;15.580628;0.093292
5.354815;25.017650;19.302137;0.303080
6.645124;17.405296;11.646616;1.844295
5.423072;31.682718;13.609002;0.087660
7.989067;23.993866;13.351110;1.223709
7.020522;21.882220;13.880436;1.096902
5.629523;27.132371;10.162535;0.140945
8.426099;31.916319;17.758681;0.644198
6.728277;32.396304;11.474316;0.159760
6.253462;16.145780;11.590263;1.943847
9.995272;17.478416;14.995067;11.94127
8.525879;34.371294;19.195772;0.542922
9.970933;16.958007;14.696806;13.07919
8.439713;22.184663;11.243682;1.755323
5.410235;38.782928;18.368149;0.052421
5.085175;19.007344;15.834547;0.605698
6.875459;25.098377;16.314667;0.685876
5.770210;15.595994;12.190243;1.702623
7.189482;31.166822;19.732250;0.417667
8.814256;21.850270;10.271669;2.026856
7.867901;15.003784;17.600055;9.911537
6.310339;33.343471;12.941636;0.124387
6.241781;16.327562;11.734814;1.867956
7.613859;28.636891;17.196875;0.641648
7.809506;18.039806;19.740859;5.165492
